example_id                                                                          | status | run_time              |
./spec/resources/groups/create_group_spec.rb[1:1:2:2:1]                             | passed | 0.9372 seconds        |
./spec/resources/groups/create_group_spec.rb[1:1:3:1:1]                             | passed | 0.86473 seconds       |
./spec/resources/groups/create_group_spec.rb[1:1:3:1:2]                             | passed | 0.81787 seconds       |
./spec/resources/groups/create_group_spec.rb[1:1:3:2:1]                             | passed | 0.67682 seconds       |
./spec/resources/groups/delete_group_spec.rb[1:1:2]                                 | passed | 0.59585 seconds       |
./spec/resources/groups/delete_group_spec.rb[1:2:2:1]                               | passed | 0.76888 seconds       |
./spec/resources/groups/delete_group_spec.rb[1:2:2:2]                               | passed | 0.71074 seconds       |
./spec/resources/groups/get_group_spec.rb[1:1:2]                                    | passed | 0.89253 seconds       |
./spec/resources/groups/get_group_spec.rb[1:2:2:1]                                  | passed | 0.76606 seconds       |
./spec/resources/groups/get_group_spec.rb[1:2:2:2]                                  | passed | 0.72506 seconds       |
./spec/resources/groups/get_group_spec.rb[1:2:2:3]                                  | passed | 0.73278 seconds       |
./spec/resources/groups/get_group_spec.rb[1:2:3:1]                                  | passed | 0.91081 seconds       |
./spec/resources/groups/index_spec.rb[1:1:2]                                        | passed | 3.2 seconds           |
./spec/resources/groups/index_spec.rb[1:2:2:1]                                      | passed | 3.43 seconds          |
./spec/resources/groups/index_spec.rb[1:2:2:2]                                      | passed | 3.37 seconds          |
./spec/resources/groups/index_spec.rb[1:2:2:3]                                      | passed | 12.33 seconds         |
./spec/resources/groups/patch_group_spec.rb[1:1:2:1]                                | passed | 0.71772 seconds       |
./spec/resources/groups/patch_group_spec.rb[1:1:2:2]                                | passed | 0.74752 seconds       |
./spec/resources/groups/patch_group_spec.rb[1:1:2:3:1]                              | passed | 0.82399 seconds       |
./spec/resources/groups/patch_group_spec.rb[1:1:2:3:2]                              | passed | 0.96722 seconds       |
./spec/resources/groups/users/add_spec.rb[1:1]                                      | passed | 0.71839 seconds       |
./spec/resources/groups/users/add_spec.rb[1:2:2:1]                                  | passed | 1.1 seconds           |
./spec/resources/groups/users/add_spec.rb[1:2:2:2]                                  | passed | 0.85125 seconds       |
./spec/resources/groups/users/add_spec.rb[1:2:2:3]                                  | passed | 1.14 seconds          |
./spec/resources/groups/users/get_spec.rb[1:1:2:1]                                  | passed | 0.77165 seconds       |
./spec/resources/groups/users/get_spec.rb[1:1:2:2]                                  | passed | 0.96814 seconds       |
./spec/resources/groups/users/get_spec.rb[1:1:2:3]                                  | passed | 1.16 seconds          |
./spec/resources/groups/users/get_spec.rb[1:1:3:1:1]                                | passed | 0.8725 seconds        |
./spec/resources/groups/users/get_spec.rb[1:1:3:1:2]                                | passed | 0.88648 seconds       |
./spec/resources/groups/users/get_spec.rb[1:1:3:2:1]                                | passed | 0.97109 seconds       |
./spec/resources/groups/users/get_spec.rb[1:1:3:3:1]                                | passed | 1 second              |
./spec/resources/groups/users/get_spec.rb[1:1:4:1]                                  | passed | 1.1 seconds           |
./spec/resources/groups/users/index_spec.rb[1:1:2:1]                                | passed | 9.51 seconds          |
./spec/resources/groups/users/index_spec.rb[1:1:2:2]                                | passed | 9.78 seconds          |
./spec/resources/groups/users/index_spec.rb[1:1:2:3:1]                              | passed | 20.09 seconds         |
./spec/resources/groups/users/remove_spec.rb[1:1]                                   | passed | 0.83444 seconds       |
./spec/resources/groups/users/remove_spec.rb[1:2:2:1]                               | passed | 0.8814 seconds        |
./spec/resources/groups/users/remove_spec.rb[1:2:2:2]                               | passed | 0.86838 seconds       |
./spec/resources/groups/users/update_spec.rb[1:1:2]                                 | passed | 9.42 seconds          |
./spec/resources/keyword_spec.rb[1:1]                                               | passed | 1.24 seconds          |
